imdbid,bechdel_rating,title,year,binary,budget_2013,domgross_2013,intgross_2013,genres,A,B,C,averageRating,numVotes
120915,3,Star Wars: Episode I - The Phantom Menace,1999,PASS,160823133,663632711.0,1408313741.0,"Action,Adventure,Fantasy",Action,Adventure,Fantasy,6.5,665685
164912,1,Stuart Little,1999,FAIL,146838513,195805974.0,417860454.0,"Adventure,Comedy,Family",Adventure,Comedy,Family,5.9,117474
134119,3,"Talented Mr. Ripley, The",1999,FAIL,55938481,113683964.0,180110910.0,"Crime,Drama,Thriller",Crime,Drama,Thriller,7.4,164983
120855,2,Tarzan,1999,FAIL,202776994,239265412.0,626779240.0,"Adventure,Animation,Family",Adventure,Animation,Family,7.3,187187
151568,3,Topsy-Turvy,1999,PASS,27969241,8672922.0,8672922.0,"Biography,Comedy,Drama",Biography,Comedy,Drama,7.3,11173
120363,1,Toy Story 2,1999,FAIL,125861583,343814937.0,715115132.0,"Adventure,Animation,Comedy",Adventure,Animation,Comedy,7.9,487741
120458,3,Virus,1999,FAIL,104884652,19593418.0,42830263.0,"Action,Horror,Sci-Fi",Action,Horror,Sci-Fi,5.0,25040
120891,2,Wild Wild West,1999,FAIL,244730855,159152923.0,309380824.0,"Action,Comedy,Sci-Fi",Action,Comedy,Sci-Fi,4.9,146021
131646,2,Wing Commander,1999,FAIL,41953861,16191424.0,16191424.0,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,4.3,15754
120623,3,A Bug&#39;s Life,1998,PASS,64310954,232660690.0,518911253.0,"Adventure,Animation,Comedy",Adventure,Animation,Comedy,7.2,251031
120591,1,Armageddon,1998,FAIL,200078524,288081893.0,792596781.0,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,6.7,376019
118661,3,"Avengers, The",1998,PASS,85747939,33420854.0,69434988.0,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,3.8,39315
120603,3,Beloved,1998,PASS,75744013,32659228.0,32659228.0,"Drama,History,Horror",Drama,History,Horror,6.0,6767
