bechdel_rating,title,year,binary,budget_2013$,domgross_2013$,intgross_2013$,genres,averageRating,numVotes
3,"Synecdoche, New York",2008,FAIL,21645126,3337178.0,4744112.0,"Comedy,Drama",7.6,74190
3,Taken,2008,PASS,27056408,156928235.0,245608963.0,"Action,Thriller",7.8,543698
3,Transsiberian,2008,PASS,16233845,2384904.0,6904335.0,"Crime,Drama,Mystery",6.7,48307
0,Tropic Thunder,2008,FAIL,97403068,119547447.0,203641087.0,"Action,Comedy,War",7.0,356915
1,Valkyrie,2008,FAIL,97403068,89911432.0,220674342.0,"Drama,History,Thriller",7.1,216615
3,Vicky Cristina Barcelona,2008,PASS,17316101,25126430.0,113100998.0,"Comedy,Drama,Romance",7.1,230340
1,WALL-E,2008,FAIL,194806136,242217798.0,576399965.0,"Adventure,Animation,Family",8.4,926441
1,Wanted,2008,FAIL,81169223,145572728.0,370582375.0,"Action,Crime,Fantasy",6.7,344827
3,"Welcome Home, Roscoe Jenkins",2008,FAIL,29762049,45927188.0,47194630.0,"Comedy,Romance",5.5,12724
3,"Women, The",2008,PASS,17316101,29114940.0,54225162.0,"Comedy,Drama",5.0,19491
3,1408,2007,PASS,25279728,80878983.0,147480104.0,"Fantasy,Horror,Mystery",6.8,244507
3,28 Weeks Later,2007,PASS,16853152,32177067.0,72168247.0,"Drama,Horror,Sci-Fi",7.0,244844
2,30 Days of Night,2007,FAIL,33706305,44457488.0,90193752.0,"Action,Horror,Thriller",6.6,157493
0,3:10 to Yuma,2007,FAIL,53930087,60229701.0,79964640.0,"Action,Crime,Drama",7.7,273294
1,88 Minutes,2007,FAIL,33706305,19022584.0,37026824.0,"Crime,Drama,Mystery",5.9,72114
3,Across the Universe,2007,PASS,50559457,27351175.0,32995262.0,"Drama,Fantasy,History",7.3,102521
3,Atonement,2007,PASS,33706305,57278425.0,146285687.0,"Drama,Mystery,Romance",7.8,231881
3,Becoming Jane,2007,PASS,18538467,20969716.0,44228231.0,"Biography,Drama,Romance",7.1,55290
3,Beowulf,2007,PASS,168531522,92349898.0,219085603.0,"Action,Adventure,Animation",6.2,156338
3,Blades of Glory,2007,PASS,68536152,133246132.0,163581806.0,"Comedy,Sport",6.3,149420
3,Bridge to Terabithia,2007,PASS,28088587,92393631.0,155031909.0,"Drama,Family,Fantasy",7.1,133788
3,Brooklyn Rules,2007,PASS,8988348,514844.0,514844.0,"Crime,Drama",6.3,5338
1,"Bucket List, The",2007,FAIL,50559457,105013679.0,195845194.0,"Comedy,Drama",7.4,217335
2,Charlie Bartlett,2007,FAIL,13482522,4438327.0,5950184.0,"Comedy,Drama,Romance",7.0,61163
3,Charlie Wilson&#39;s War,2007,PASS,84265761,74896639.0,134277795.0,"Biography,Comedy,Drama",7.0,102134
3,Death at a Funeral,2007,PASS,23594413,48019515.0,55028051.0,Comedy,7.4,103689
3,Diary of the Dead,2007,PASS,3089745,1070310.0,6060896.0,"Fantasy,Horror,Sci-Fi",5.6,44561
3,Disturbia,2007,PASS,22470870,90119077.0,132098426.0,"Crime,Drama,Mystery",6.8,209677
3,Eastern Promises,2007,PASS,56177174,19303898.0,62207616.0,"Action,Crime,Drama",7.6,216804
3,Enchanted,2007,PASS,95501196,143484229.0,382436383.0,"Animation,Comedy,Family",7.0,167463
3,Fantastic Four: Rise of the Silver Surfer,2007,FAIL,134825218,148219809.0,323822443.0,"Action,Adventure,Fantasy",5.6,241672
